City_ID,City,Country,Max Temp,Description,Lat,Lng,Humidity,Cloudiness,Wind Speed,Date,Hotel Name
0,Arraial Do Cabo,BR,71.56,broken clouds,-22.9661,-42.0278,88,75,9.22,2022-07-20 21:33:27,
1,Kapaa,US,82.72,few clouds,22.0752,-159.319,72,20,17.27,2022-07-20 21:32:15,
9,Parli,IN,76.39,overcast clouds,18.8486,76.5297,82,100,10.45,2022-07-20 21:34:54,
14,Abeche,TD,74.08,light rain,13.8292,20.8324,74,100,15.19,2022-07-20 21:34:55,
16,Nikolskoye,RU,67.87,overcast clouds,59.7035,30.7861,65,100,9.51,2022-07-20 21:28:30,
19,Anqing,CN,78.33,overcast clouds,30.5092,117.0506,96,100,3.89,2022-07-20 21:34:56,
20,Hamza,UZ,80.55,clear sky,40.4264,71.4956,17,0,1.86,2022-07-20 21:34:56,
22,Bengkulu,ID,75.58,broken clouds,-3.8004,102.2655,91,64,3.65,2022-07-20 21:34:57,
23,Tautira,PF,76.42,clear sky,-17.7333,-149.15,72,0,9.93,2022-07-20 21:34:57,
24,Faanui,PF,77.99,clear sky,-16.4833,-151.75,65,0,9.55,2022-07-20 21:33:48,
26,Fortuna,US,67.86,scattered clouds,40.5982,-124.1573,69,36,7.25,2022-07-20 21:30:55,
27,Butaritari,KI,81.28,light rain,3.0707,172.7902,78,70,7.76,2022-07-20 21:33:26,
28,Bandarbeyla,SO,74.05,broken clouds,9.4942,50.8122,86,61,27.16,2022-07-20 21:34:58,
34,Cap Malheureux,MU,65.46,overcast clouds,-19.9842,57.6142,74,92,5.99,2022-07-20 21:35:00,
36,Katobu,ID,73.8,few clouds,-4.9408,122.5276,96,15,4.25,2022-07-20 21:31:05,
40,Hobyo,SO,75.29,scattered clouds,5.3505,48.5268,80,31,25.41,2022-07-20 21:35:01,
42,Isangel,VU,80.71,scattered clouds,-19.55,169.2667,89,40,4.61,2022-07-20 21:34:10,
47,Hithadhoo,MV,80.94,overcast clouds,-0.6,73.0833,69,100,2.84,2022-07-20 21:30:56,
52,Beira,MZ,68.09,clear sky,-19.8436,34.8389,94,0,5.75,2022-07-20 21:36:04,
54,Ambilobe,MG,70.23,few clouds,-13.2,49.05,64,18,9.48,2022-07-20 21:36:05,
58,Asau,RO,70.72,few clouds,46.4333,26.4,61,19,5.55,2022-07-20 21:32:06,
60,Sao Filipe,CV,76.51,broken clouds,14.8961,-24.4956,88,75,5.82,2022-07-20 21:33:30,
61,Mahebourg,MU,68.29,light intensity shower rain,-20.4081,57.7,83,75,24.16,2022-07-20 21:36:06,
62,Dutse,NG,73.27,overcast clouds,11.7594,9.3392,78,100,1.63,2022-07-20 21:36:07,
63,Rikitea,PF,73.35,clear sky,-23.1203,-134.9692,75,0,3.98,2022-07-20 21:30:56,
71,Pacific Grove,US,80.24,few clouds,36.6177,-121.9166,80,20,11.5,2022-07-20 21:33:22,
76,Anshun,CN,65.17,overcast clouds,26.25,105.9333,99,99,5.41,2022-07-20 21:36:10,
78,Neiafu,TO,79.48,scattered clouds,-18.65,-173.9833,73,40,9.22,2022-07-20 21:36:10,
80,Atambua,ID,69.73,overcast clouds,-9.1061,124.8925,90,100,4.7,2022-07-20 21:36:11,
84,Atuona,PF,77.74,clear sky,-9.8,-139.0333,74,8,15.12,2022-07-20 21:30:49,
85,Nsukka,NG,68.72,overcast clouds,6.8561,7.3927,94,100,5.57,2022-07-20 21:36:12,
89,Tessalit,ML,75.7,overcast clouds,20.1986,1.0114,70,99,12.57,2022-07-20 21:37:14,
91,Lashio,MM,69.04,overcast clouds,22.9333,97.75,100,99,1.28,2022-07-20 21:37:15,
92,Vinh,VN,77.47,broken clouds,18.6667,105.6667,90,78,0.47,2022-07-20 21:37:15,
93,Yellowknife,CA,68.52,broken clouds,62.456,-114.3525,49,75,10.36,2022-07-20 21:30:23,
96,Mashhad,IR,78.94,clear sky,36.297,59.6062,36,0,6.91,2022-07-20 21:37:16,
97,Cockburn Town,TC,82.22,clear sky,21.4612,-71.1419,78,1,20.07,2022-07-20 21:37:17,
98,Norman Wells,CA,75.24,broken clouds,65.282,-126.8329,31,75,6.91,2022-07-20 21:37:17,
100,Ankang,CN,70.47,clear sky,32.68,109.0172,86,0,0.69,2022-07-20 21:37:06,
102,Sao Joao Do Piaui,BR,81.03,few clouds,-8.3581,-42.2467,44,15,9.82,2022-07-20 21:37:18,
104,Luwuk,ID,75.7,scattered clouds,-0.9516,122.7875,85,38,3.0,2022-07-20 21:37:19,
106,Kutum,SD,75.13,light rain,14.2,24.6667,61,87,6.29,2022-07-20 21:33:21,
107,Georgetown,MY,80.89,few clouds,5.4112,100.3354,90,20,1.14,2022-07-20 21:27:09,
108,Carnarvon,AU,70.59,few clouds,-24.8667,113.6333,79,23,14.63,2022-07-20 21:26:06,
110,Vaini,TO,77.16,scattered clouds,-21.2,-175.2,83,40,9.22,2022-07-20 21:30:57,
111,Saint-Philippe,RE,65.79,scattered clouds,-21.3585,55.7679,78,45,13.69,2022-07-20 21:30:52,
112,Boundiali,CI,69.87,light rain,9.5217,-6.4869,98,100,4.81,2022-07-20 21:37:20,
114,Praia,CV,79.34,broken clouds,14.9215,-23.5087,78,75,8.05,2022-07-20 21:37:21,
115,Ribeira Grande,PT,73.8,few clouds,38.5167,-28.7,83,20,6.91,2022-07-20 21:37:21,
116,Sao Joao Da Barra,BR,73.49,clear sky,-21.6403,-41.0511,90,8,9.95,2022-07-20 21:37:22,
117,Kaliua,TZ,66.83,few clouds,-5.0606,31.7936,44,16,5.41,2022-07-20 21:37:22,
119,Avarua,CK,75.25,scattered clouds,-21.2078,-159.775,64,40,18.41,2022-07-20 21:30:46,
120,Jaru,BR,81.91,clear sky,-10.4389,-62.4664,34,0,3.78,2022-07-20 21:37:23,
121,Camacha,PT,69.22,broken clouds,33.0833,-16.3333,73,75,10.36,2022-07-20 21:37:23,
122,Port Moresby,PG,76.3,overcast clouds,-9.4431,147.1797,87,97,2.39,2022-07-20 21:37:24,
123,High Level,CA,71.71,scattered clouds,58.5169,-117.136,53,40,6.91,2022-07-20 21:34:35,
124,Derzhavinsk,KZ,68.81,broken clouds,51.1,66.3167,63,71,6.73,2022-07-20 21:30:49,
126,Bambous Virieux,MU,68.25,light intensity shower rain,-20.3428,57.7575,83,75,24.16,2022-07-20 21:34:30,
127,Itapuranga,BR,73.13,clear sky,-15.5622,-49.9486,29,0,1.48,2022-07-20 21:37:25,
130,Daru,PG,76.73,overcast clouds,-9.0763,143.2092,91,96,10.89,2022-07-20 21:37:25,
131,Sao Jose Da Tapera,BR,69.12,overcast clouds,-9.5583,-37.3811,96,95,6.62,2022-07-20 21:37:26,
133,Sarangani,PH,82.69,broken clouds,5.4033,125.4636,70,62,1.1,2022-07-20 21:37:26,
134,Pfarrkirchen,DE,75.69,overcast clouds,48.432,12.9381,68,100,16.62,2022-07-20 21:37:27,
136,Malinovoye Ozero,RU,72.01,overcast clouds,51.6753,79.7825,38,100,13.31,2022-07-20 21:38:27,
139,Niamey,NE,84.49,clear sky,13.5137,2.1098,61,0,3.44,2022-07-20 21:38:28,
140,Onda,ES,79.9,clear sky,39.9667,-0.25,77,0,2.53,2022-07-20 21:38:29,
144,Salgueiro,BR,70.02,broken clouds,-8.0742,-39.1192,80,62,11.56,2022-07-20 21:38:30,
145,Muros,ES,68.09,clear sky,42.7762,-9.0603,79,5,11.97,2022-07-20 21:32:06,
151,Ponta Do Sol,PT,73.71,clear sky,32.6667,-17.1,81,5,7.23,2022-07-20 21:38:32,
152,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,82,0,9.22,2022-07-20 21:38:33,
154,Thompson,CA,66.36,broken clouds,55.7435,-97.8558,72,75,5.75,2022-07-20 21:33:20,
156,Bonthe,SL,75.22,overcast clouds,7.5264,-12.505,87,100,10.47,2022-07-20 21:38:34,
158,Ziri,SI,71.94,broken clouds,46.0422,14.1072,67,58,1.81,2022-07-20 21:38:34,
160,Ust-Omchug,RU,67.14,overcast clouds,61.15,149.6333,71,94,5.48,2022-07-20 21:38:35,
161,Geraldton,AU,66.61,overcast clouds,-28.7667,114.6,94,100,19.57,2022-07-20 21:38:35,
162,Prado,BR,70.79,clear sky,-17.3411,-39.2208,82,9,7.96,2022-07-20 21:38:35,
163,Vao,NC,73.89,overcast clouds,-22.6667,167.4833,88,98,10.2,2022-07-20 21:33:28,
165,Sechura,PE,72.63,scattered clouds,-5.5569,-80.8222,58,27,17.18,2022-07-20 21:33:22,
168,Mersing,MY,75.11,few clouds,2.4312,103.8405,100,20,4.61,2022-07-20 21:38:36,
172,Neustadt,DE,74.7,overcast clouds,49.7117,12.0872,82,100,13.96,2022-07-20 21:38:38,
174,Venezuela,VE,83.82,scattered clouds,8.0,-66.0,61,43,2.53,2022-07-20 21:38:38,
179,Loa Janan,ID,72.57,few clouds,-0.583,117.095,99,18,0.96,2022-07-20 21:39:40,
180,Qurayyat,SA,80.78,clear sky,31.3318,37.3428,36,0,13.8,2022-07-20 21:39:40,
