City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Arraial Do Cabo,BR,2022-07-20 21:33:27,-22.9661,-42.0278,71.56,88,75,9.22,broken clouds
1,Kapaa,US,2022-07-20 21:32:15,22.0752,-159.319,82.72,72,20,17.27,few clouds
2,Acapulco,MX,2022-07-20 21:32:28,16.8634,-99.8901,87.62,74,75,4.61,broken clouds
3,Bredasdorp,ZA,2022-07-20 21:30:53,-34.5322,20.0403,45.43,87,1,4.99,clear sky
4,Lebu,CL,2022-07-20 21:34:53,-37.6167,-73.65,52.83,96,100,10.07,overcast clouds
5,Luderitz,NA,2022-07-20 21:34:54,-26.6481,15.1594,56.61,61,3,16.51,clear sky
6,Lompoc,US,2022-07-20 21:33:50,34.6391,-120.4579,96.01,63,0,16.11,clear sky
7,Punta Arenas,CL,2022-07-20 21:30:47,-53.15,-70.9167,35.62,80,75,23.02,broken clouds
8,Bluff,NZ,2022-07-20 21:33:26,-46.6,168.3333,39.79,72,100,6.96,overcast clouds
9,Parli,IN,2022-07-20 21:34:54,18.8486,76.5297,76.39,82,100,10.45,overcast clouds
10,Pevek,RU,2022-07-20 21:34:32,69.7008,170.3133,31.62,88,99,15.46,overcast clouds
11,Ushuaia,AR,2022-07-20 21:30:57,-54.8,-68.3,31.66,86,100,24.16,light snow
12,Constitucion,CL,2022-07-20 21:28:34,-35.3333,-72.4167,55.6,85,6,11.1,clear sky
13,Jamestown,US,2022-07-20 21:30:55,42.097,-79.2353,89.19,52,75,18.41,broken clouds
14,Abeche,TD,2022-07-20 21:34:55,13.8292,20.8324,74.08,74,100,15.19,light rain
15,Talnakh,RU,2022-07-20 21:34:55,69.4865,88.3972,52.21,74,100,5.23,overcast clouds
16,Nikolskoye,RU,2022-07-20 21:28:30,59.7035,30.7861,67.87,65,100,9.51,overcast clouds
17,Port Alfred,ZA,2022-07-20 21:34:31,-33.5906,26.891,56.17,97,100,1.99,overcast clouds
18,Cidreira,BR,2022-07-20 21:34:41,-30.1811,-50.2056,61.97,91,0,16.2,clear sky
19,Anqing,CN,2022-07-20 21:34:56,30.5092,117.0506,78.33,96,100,3.89,overcast clouds
20,Hamza,UZ,2022-07-20 21:34:56,40.4264,71.4956,80.55,17,0,1.86,clear sky
21,Te Anau,NZ,2022-07-20 21:34:57,-45.4167,167.7167,39.88,91,97,2.98,overcast clouds
22,Bengkulu,ID,2022-07-20 21:34:57,-3.8004,102.2655,75.58,91,64,3.65,broken clouds
23,Tautira,PF,2022-07-20 21:34:57,-17.7333,-149.15,76.42,72,0,9.93,clear sky
24,Faanui,PF,2022-07-20 21:33:48,-16.4833,-151.75,77.99,65,0,9.55,clear sky
25,Hobart,AU,2022-07-20 21:31:11,-42.8794,147.3294,35.26,94,0,5.75,clear sky
26,Fortuna,US,2022-07-20 21:30:55,40.5982,-124.1573,67.86,69,36,7.25,scattered clouds
27,Butaritari,KI,2022-07-20 21:33:26,3.0707,172.7902,81.28,78,70,7.76,light rain
28,Bandarbeyla,SO,2022-07-20 21:34:58,9.4942,50.8122,74.05,86,61,27.16,broken clouds
29,Arman,RU,2022-07-20 21:34:59,59.7,150.1667,62.56,76,13,2.57,few clouds
30,Tiksi,RU,2022-07-20 21:34:59,71.6872,128.8694,39.09,88,86,19.84,overcast clouds
31,Saskylakh,RU,2022-07-20 21:32:07,71.9167,114.0833,42.01,76,67,14.54,broken clouds
32,Port Macquarie,AU,2022-07-20 21:31:34,-31.4333,152.9167,53.49,100,75,2.3,broken clouds
33,Douentza,ML,2022-07-20 21:35:00,14.9951,-2.9517,86.11,56,100,12.97,overcast clouds
34,Cap Malheureux,MU,2022-07-20 21:35:00,-19.9842,57.6142,65.46,74,92,5.99,overcast clouds
35,Deputatskiy,RU,2022-07-20 21:35:00,69.3,139.9,38.93,87,90,5.77,overcast clouds
36,Katobu,ID,2022-07-20 21:31:05,-4.9408,122.5276,73.8,96,15,4.25,few clouds
37,Ketchikan,US,2022-07-20 21:32:06,55.3422,-131.6461,61.27,63,75,11.5,broken clouds
38,Olavarria,AR,2022-07-20 21:30:06,-36.8927,-60.3225,61.02,51,68,7.11,broken clouds
39,Yulara,AU,2022-07-20 21:35:01,-25.2406,130.9889,44.22,53,18,10.25,few clouds
40,Hobyo,SO,2022-07-20 21:35:01,5.3505,48.5268,75.29,80,31,25.41,scattered clouds
41,Busselton,AU,2022-07-20 21:32:13,-33.65,115.3333,55.81,94,100,10.02,light rain
42,Isangel,VU,2022-07-20 21:34:10,-19.55,169.2667,80.71,89,40,4.61,scattered clouds
43,Nome,US,2022-07-20 21:33:17,64.5011,-165.4064,46.47,93,100,16.11,moderate rain
44,Priiskovyy,RU,2022-07-20 21:35:02,51.9333,116.6333,63.79,92,74,3.85,broken clouds
45,Severo-Kurilsk,RU,2022-07-20 21:30:54,50.6789,156.125,52.34,97,98,11.34,light rain
46,Fallon,US,2022-07-20 21:33:05,39.4735,-118.7774,96.46,16,40,6.91,scattered clouds
47,Hithadhoo,MV,2022-07-20 21:30:56,-0.6,73.0833,80.94,69,100,2.84,overcast clouds
48,Tuktoyaktuk,CA,2022-07-20 21:30:44,69.4541,-133.0374,53.6,82,100,11.5,overcast clouds
49,Kalamare,BW,2022-07-20 21:36:03,-22.9337,26.5703,55.72,71,74,6.17,broken clouds
50,Qaanaaq,GL,2022-07-20 21:30:48,77.484,-69.3632,41.14,80,100,2.95,overcast clouds
51,Cape Town,ZA,2022-07-20 21:34:44,-33.9258,18.4232,52.12,79,0,2.3,clear sky
52,Beira,MZ,2022-07-20 21:36:04,-19.8436,34.8389,68.09,94,0,5.75,clear sky
53,Gold Coast,AU,2022-07-20 21:36:04,-28.0,153.4333,60.01,88,100,13.8,overcast clouds
54,Ambilobe,MG,2022-07-20 21:36:05,-13.2,49.05,70.23,64,18,9.48,few clouds
55,Cabo San Lucas,MX,2022-07-20 21:34:04,22.8909,-109.9124,97.61,49,0,17.27,clear sky
56,Klerksdorp,ZA,2022-07-20 21:36:05,-26.8521,26.6667,55.62,59,74,6.6,broken clouds
57,Mataura,NZ,2022-07-20 21:32:04,-46.1927,168.8643,39.47,88,100,2.84,overcast clouds
58,Asau,RO,2022-07-20 21:32:06,46.4333,26.4,70.72,61,19,5.55,few clouds
59,Bud,US,2022-07-20 21:36:06,39.447,-86.1758,93.18,59,3,14.9,clear sky
60,Sao Filipe,CV,2022-07-20 21:33:30,14.8961,-24.4956,76.51,88,75,5.82,broken clouds
61,Mahebourg,MU,2022-07-20 21:36:06,-20.4081,57.7,68.29,83,75,24.16,light intensity shower rain
62,Dutse,NG,2022-07-20 21:36:07,11.7594,9.3392,73.27,78,100,1.63,overcast clouds
63,Rikitea,PF,2022-07-20 21:30:56,-23.1203,-134.9692,73.35,75,0,3.98,clear sky
64,San Patricio,US,2022-07-20 21:36:07,28.017,-97.5169,98.19,50,19,20.96,few clouds
65,Kununurra,AU,2022-07-20 21:36:08,-15.7667,128.7333,55.38,88,83,0.0,broken clouds
66,Hilo,US,2022-07-20 21:32:11,19.7297,-155.09,85.28,90,100,5.75,light rain
67,New Norfolk,AU,2022-07-20 21:30:45,-42.7826,147.0587,34.92,89,4,2.39,clear sky
68,Lensk,RU,2022-07-20 21:36:08,60.7253,114.9278,60.44,97,100,0.81,overcast clouds
69,Mehamn,NO,2022-07-20 21:36:09,71.0357,27.8492,51.75,100,0,2.3,clear sky
70,Kaitangata,NZ,2022-07-20 21:34:38,-46.2817,169.8464,41.94,81,100,7.14,overcast clouds
71,Pacific Grove,US,2022-07-20 21:33:22,36.6177,-121.9166,80.24,80,20,11.5,few clouds
72,Albany,US,2022-07-20 21:34:39,42.6001,-73.9662,95.65,47,47,1.99,scattered clouds
73,Yar-Sale,RU,2022-07-20 21:33:34,66.8333,70.8333,48.11,76,7,9.53,clear sky
74,Saint George,US,2022-07-20 21:30:20,37.1041,-113.5841,109.8,15,0,11.5,clear sky
75,Carroll,US,2022-07-20 21:31:17,39.5501,-77.0164,92.01,53,0,5.01,clear sky
76,Anshun,CN,2022-07-20 21:36:10,26.25,105.9333,65.17,99,99,5.41,overcast clouds
77,Codrington,AU,2022-07-20 21:30:46,-38.2667,141.9667,38.19,80,0,7.81,clear sky
78,Neiafu,TO,2022-07-20 21:36:10,-18.65,-173.9833,79.48,73,40,9.22,scattered clouds
79,Warrnambool,AU,2022-07-20 21:36:11,-38.3833,142.4833,40.8,79,0,8.9,clear sky
