City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hilo,19.7297,-155.09,87.28,76,0,11.5,US,2022-07-12 22:33:19
1,Clyde River,70.4692,-68.5914,43.03,75,20,10.36,CA,2022-07-12 22:34:27
2,Norman Wells,65.282,-126.8329,66.24,68,75,19.57,CA,2022-07-12 22:34:27
3,Vaini,-21.2,-175.2,78.96,78,20,9.22,TO,2022-07-12 22:34:28
4,Kapaa,22.0752,-159.319,82.72,72,20,13.8,US,2022-07-12 22:34:28
5,Iqaluit,63.7506,-68.5145,49.73,87,100,3.44,CA,2022-07-12 22:30:13
6,Cordoba,-31.4135,-64.1811,53.76,42,0,13.8,AR,2022-07-12 22:34:29
7,Hofn,64.2539,-15.2082,51.39,66,100,13.06,IS,2022-07-12 22:34:29
8,Katsuura,35.1333,140.3,75.22,92,98,6.67,JP,2022-07-12 22:34:29
9,Saskylakh,71.9167,114.0833,42.66,70,100,12.15,RU,2022-07-12 22:34:30
10,Rikitea,-23.1203,-134.9692,75.0,75,10,14.61,PF,2022-07-12 22:34:30
11,Thompson,55.7435,-97.8558,75.36,35,20,4.61,CA,2022-07-12 22:34:30
12,San Cristobal,7.7669,-72.225,75.38,91,48,4.16,VE,2022-07-12 22:32:53
13,Baker City,44.7749,-117.8344,94.71,26,0,0.0,US,2022-07-12 22:34:31
14,Tiksi,71.6872,128.8694,35.78,95,100,10.02,RU,2022-07-12 22:34:31
15,Punta Arenas,-53.15,-70.9167,33.91,93,100,9.22,CL,2022-07-12 22:29:50
16,Barra,-11.0894,-43.1417,78.08,47,11,9.89,BR,2022-07-12 22:34:32
17,Santa Cruz,-17.8,-63.1667,67.46,34,100,11.5,BO,2022-07-12 22:34:32
18,Lasa,46.6166,10.7002,65.28,68,68,4.12,IT,2022-07-12 22:34:32
19,Nuuk,64.1835,-51.7216,43.41,93,75,16.11,GL,2022-07-12 22:31:57
20,Nara,34.6851,135.8049,80.96,61,9,2.08,JP,2022-07-12 22:34:33
21,Cap Malheureux,-19.9842,57.6142,69.48,70,66,5.99,MU,2022-07-12 22:34:33
22,Conde,-7.2597,-34.9075,74.66,88,0,6.91,BR,2022-07-12 22:34:34
23,Kodinsk,58.6881,99.1844,57.65,60,100,3.09,RU,2022-07-12 22:34:34
24,Butaritari,3.0707,172.7902,82.53,72,80,18.79,KI,2022-07-12 22:34:35
25,Vila Velha,-20.3297,-40.2925,75.15,85,0,10.0,BR,2022-07-12 22:34:35
26,Georgetown,5.4112,100.3354,75.15,94,40,0.0,MY,2022-07-12 22:32:51
27,Lebu,-37.6167,-73.65,48.49,81,98,5.97,CL,2022-07-12 22:34:35
28,Te Anau,-45.4167,167.7167,38.95,98,100,1.86,NZ,2022-07-12 22:34:36
29,San Ramon,37.7799,-121.978,92.59,49,0,13.8,US,2022-07-12 22:33:56
30,Port Alfred,-33.5906,26.891,57.38,69,0,8.55,ZA,2022-07-12 22:34:36
31,Chernyshevskiy,63.0128,112.4714,48.11,67,77,6.49,RU,2022-07-12 22:34:37
32,Harer,9.3094,42.1258,58.62,88,100,6.11,ET,2022-07-12 22:34:37
33,Goderich,43.7501,-81.7165,68.32,68,43,9.22,CA,2022-07-12 22:30:08
34,Chokurdakh,70.6333,147.9167,49.41,81,100,8.05,RU,2022-07-12 22:34:38
35,Pemangkat,1.1667,108.9667,77.59,85,100,3.33,ID,2022-07-12 22:34:38
36,Mokobeng,-22.9965,27.6678,58.05,54,41,5.32,BW,2022-07-12 22:34:38
37,Esperance,-33.8667,121.9,50.63,55,0,8.79,AU,2022-07-12 22:34:39
38,Bredasdorp,-34.5322,20.0403,47.97,90,2,5.86,ZA,2022-07-12 22:34:39
39,Severo-Kurilsk,50.6789,156.125,55.58,90,62,0.72,RU,2022-07-12 22:32:17
40,Qaanaaq,77.484,-69.3632,40.95,75,81,5.35,GL,2022-07-12 22:34:39
41,Bluff,-46.6,168.3333,43.81,92,100,22.41,NZ,2022-07-12 22:34:40
42,Ushuaia,-54.8,-68.3,37.06,87,75,12.66,AR,2022-07-12 22:30:17
43,Airai,-8.9266,125.4092,54.79,76,71,2.84,TL,2022-07-12 22:34:40
44,Diego De Almagro,-26.3667,-70.05,55.98,32,0,3.58,CL,2022-07-12 22:32:06
45,Carballo,43.213,-8.691,77.43,86,1,1.34,ES,2022-07-12 22:34:41
46,Mar Del Plata,-38.0023,-57.5575,48.09,69,40,11.5,AR,2022-07-12 22:35:41
47,Cape Town,-33.9258,18.4232,56.37,90,0,4.61,ZA,2022-07-12 22:32:04
48,Kaitangata,-46.2817,169.8464,43.95,94,100,15.19,NZ,2022-07-12 22:35:42
49,South River,40.4465,-74.386,93.09,93,57,8.37,US,2022-07-12 22:35:42
50,Nome,64.5011,-165.4064,62.17,76,0,6.91,US,2022-07-12 22:35:42
51,Great Yarmouth,52.6083,1.7305,72.41,64,100,5.32,GB,2022-07-12 22:35:43
